Latitude,Longitude,Postcode,Region Type,Sector,Suburb,Type,﻿Name
"-27.5911, -27.4039, -25.2363, -25.6237, -26.2392, -27.4589, -17.2654, -16.9267, -26.7434, -27.8726, -27.2754, -37.7922, -35.7239, -37.9532, -37.8825, -34.3024, -38.3405, -38.3615, -38.2072, -38.0554, -36.7816, -36.3648, -36.3601, -37.6054, -38.1586, -36.7694, -37.7623, -35.9175, -37.7092, -35.7255, -38.436, -37.8581, -38.6009, -36.2718, -36.146, -36.5537, -37.8265, -37.7746, -37.8775, -36.0865, -38.3725, -37.8005, -37.5957, -30.7819, -31.2296, -34.4461, -31.6579, -30.6403, -15.7716, -32.0057, -32.8447, -15.48552, -28.6525, -33.8363, -34.8465, -35.1186, -34.9024, -32.9756, -34.8904, -34.971, -34.91332338, -34.2537, -34.9039, -34.7267, -34.1667","152.757, 153.057, 152.281, 151.606, 151.946, 152.98, 145.478, 145.767, 150.627, 151.272, 150.46, 145.617, 142.362, 145.15, 145.005, 142.188, 144.742, 145.203, 146.152, 145.119, 145.154, 144.701, 146.683, 141.695, 145.912, 144.278, 144.943, 145.65243, 148.456, 143.918, 145.822, 145.031, 145.603, 143.351, 146.607, 145.973, 145.034, 144.997, 142.29, 145.444, 142.486, 144.986, 145.091, 121.478, 119.324, 116.035, 116.679, 116.002, 128.739, 115.938, 115.923, 128.124, 151.938, 138.61, 138.538, 139.267, 138.64, 138.842, 138.659, 138.614, 138.666, 140.459, 138.563, 135.856, 140.75","4305, 4012, 4660, 4625, 4605, 4065, 4883, 4870, 4413, 4357, 4421, 3797, 3396, 3171, 3185, 3496, 3943, 3919, 3824, 3196, 3608, 3561, 3747, 3315, 3820, 3550, 3055, 3644, 3888, 3579, 3950, 3144, 3995, 3525, 3683, 3672, 3122, 3070, 3289, 3636, 3280, 3066, 3754, 6432, 6426, 6260, 6401, 6510, 6743, 6107, 6215, 6740, 4380, 5453, 5013, 5253, 5070, 5422, 5073, 5062, 5073, 5345, 5007, 5606, 5341","Major Cities, Inner Regional, Outer Regional, Inner Regional, Major Cities, Outer Regional, Outer Regional, Outer Regional, Inner Regional, Outer Regional, Inner Regional, Remote, Major Cities, Major Cities, Outer Regional, Major Cities, Major Cities, Inner Regional, Major Cities, Inner Regional, Inner Regional, Inner Regional, Outer Regional, Inner Regional, Inner Regional, Major Cities, Inner Regional, Outer Regional, Outer Regional, Inner Regional, Major Cities, Inner Regional, Outer Regional, Inner Regional, Inner Regional, Major Cities, Major Cities, Outer Regional, Inner Regional, Inner Regional, Major Cities, Major Cities, Outer Regional, Remote, Outer Regional, Inner Regional, Outer Regional, Very Remote, Major Cities, Inner Regional, Very Remote, Outer Regional, Inner Regional, Major Cities, Inner Regional, Major Cities, Outer Regional, Major Cities, Major Cities, Major Cities, Outer Regional, Major Cities, Remote, Outer Regional",Non-Gov,"North Ipswich, Nundah, Childers, Gayndah, Murgon, Bardon, Atherton, Parramatta Park, Chinchilla, Millmerran, Tara, Yarra Junction, Hopetoun, Springvale, Elsternwick, Red Cliffs, Sorrento, Crib Point, Trafalgar, Chelsea, Nagambie, Rochester, Beechworth, Coleraine, Warragul, Quarry Hill, Brunswick West, Cobram, Orbost, Kerang, Korumburra, Malvern, Wonthaggi, Charlton, Chiltern, Benalla, Hawthorn, Northcote, Penshurst, Numurkah, Warrnambool, Collingwood, Mernda, Boulder, Southern Cross, Pemberton, Northam, Moora, Kununurra, Queens Park, Waroona, Wyndham, Stanthorpe, Clare, Ottoway, Murray Bridge, Payneham South, Peterborough, Hectorville, Kingswood, Tranmere, Barmera, West Hindmarsh, Port Lincoln, Renmark","Primary, Combined, Combined, Primary, Combined, Primary, Combined, Primary, Primary, Primary, Primary, Primary, Combined, Primary",St Joseph's School
-31.6555,116.673,6401,Inner Regional,Non-Gov,Northam,Secondary,St Joseph's School - Secondary Campus
-27.7117,153.2,4207,Major Cities,Non-Gov,Beenleigh,Primary,St Joseph's Tobruk Memorial School
-37.8898,145.226,3179,Major Cities,Non-Gov,Scoresby,Primary,St Jude the Apostle School
-32.0435,115.935,6147,Major Cities,Non-Gov,Langford,Primary,St Jude's Catholic School
-35.3339,149.05,2611,Major Cities,Non-Gov,Holder,Primary,St Jude's Primary School
-38.1553,145.191,3910,Major Cities,Non-Gov,Langwarrin,Primary,St Jude's School
-34.0173,150.75061,2570,Major Cities,Non-Gov,Oran Park,Primary,St Justin's Catholic Primary School
-37.9178,145.191,3150,Major Cities,Non-Gov,Wheelers Hill,Primary,St Justin's School
"-33.7545, -33.7895","151.29, 151.079","2099, 2122",Major Cities,Non-Gov,"Dee Why, Eastwood",Primary,St Kevin's Catholic Primary School
